id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup_O3,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,1,512,1,512,28,2,1,DLMT,29,1.432840676982154,1024,1024,1,108,8,0.11208173333333335,1
2,8,512,1,256,2,1,11,DLMT,27,1.4562017343154465,2048,2048,1,137,1,0.11028366666666668,8
3,8,1,256,512,1,3,24,DLMT,8,1.4636862648833755,1,1,2048,144,8,0.10971973333333332,1
4,1,512,512,1,1,29,25,DLMT,25,1.785667876889507,1,2048,1024,133,8,0.08993568666666668,8
5,1,512,16,1,1,30,7,DLMT,9,1.7219025418039189,1,1,2048,120,1,0.09326617666666663,1
6,8,512,256,512,30,1,10,DLMT,8,1.3706776718618148,1,1,2048,138,1,0.11716486666666667,1
7,1,512,512,1,1,11,5,DLMT,19,1.6803968811221586,1,1,512,128,1,0.09556984333333332,1
8,8,1,1,128,29,1,10,DLMT,28,1.5040422717639106,2048,1,1,139,1,0.1067757666666667,8
9,1,1,512,1,1,30,30,DLMT,30,1.7165332858190898,1,1024,1,132,8,0.09355790999999997,8
10,8,512,1,512,22,16,1,DLMT,22,1.5034415096270837,1,1024,1,144,8,0.10681843333333331,1
11,1,1,512,1,1,29,5,DLMT,7,1.4453714201027745,1,2048,1,144,1,0.11111003333333334,32
12,1,1,1,1,1,22,3,DLMT,1,1.5771166655536828,1,2048,1024,144,1,0.1018284,1
13,1,512,512,1,30,4,1,DLMT,28,1.4326664111302836,2048,2048,2048,113,8,0.11209536666666671,8
14,1,16,256,1,29,27,1,DLMT,14,1.4366758551425443,2048,2048,1,144,8,0.11178253333333334,8
15,1,256,512,1,1,30,5,DLMT,4,1.7505025758180155,1,1,1,144,8,0.09174237666666668,8
16,1,1,16,1,1,13,8,DLMT,1,1.654484544193243,1,1,1,144,1,0.0970666466666667,1
17,8,512,16,256,30,24,1,DLMT,2,1.494580048784679,1,1,1024,141,8,0.10745176666666668,1
18,8,512,512,1,1,8,10,DLMT,16,1.5124466601977158,1,1024,2048,144,8,0.10618243333333334,1
19,8,512,16,512,4,2,1,DLMT,18,1.462142207687368,1024,1,1,132,8,0.10983559999999996,1
20,8,256,512,1,1,14,7,DLMT,30,1.4644105528206377,1,2048,1,135,8,0.10966546666666671,1
21,8,512,128,1,1,9,1,DLMT,30,1.4956564768832303,1024,1024,2048,141,8,0.10737443333333334,1
22,1,128,512,1,1,10,3,DLMT,1,1.457933534670064,1,1,2048,144,1,0.11015266666666663,32
23,1,1,1,1,1,24,30,DLMT,5,1.7656483825663722,1,2048,128,144,8,0.09095540666666667,8
24,8,512,1,512,28,1,5,DLMT,2,1.4522604294995398,1,2048,1,122,1,0.11058296666666667,8
25,8,1,16,512,1,5,26,DLMT,10,1.5009043698227702,1,2048,2048,143,8,0.10699900000000002,1
26,1,1,16,16,30,30,1,DLMT,1,1.4869537413513092,512,2048,2048,144,8,0.10800286666666668,1
27,8,64,16,512,1,10,4,RS,12,1.506061623430983,2048,1024,64,140,8,0.10663260000000004,1
28,8,1,256,1,1,11,18,RS,7,1.500111779992066,512,2048,2048,140,8,0.10705553333333336,1
29,8,128,256,256,1,20,8,RS,6,1.4495570567046843,1,1024,1024,140,8,0.11078920000000005,1
30,8,256,64,128,1,8,9,RS,12,1.4874059191115059,256,256,1,140,1,0.10797003333333334,1
31,8,1,32,1,3,5,1,RS,11,1.5130099768017138,1,1,1,140,8,0.1061429,1
32,1,1,128,1,1,13,29,RS,21,1.8019812578701078,1,128,128,140,8,0.08912149666666662,1
33,8,32,1,1,1,11,13,RS,26,1.5245353637443535,2048,1024,128,140,8,0.10534046666666666,1
34,8,16,16,1,18,3,1,RS,16,1.5035381623775448,2048,256,2048,140,8,0.10681156666666664,1
35,8,128,512,256,1,14,17,RS,15,1.5194613795337217,512,2048,1,140,8,0.10569223333333334,1
36,8,64,64,1,6,13,1,RS,13,1.5186275337997563,512,1,1024,140,8,0.10575026666666666,1
37,8,64,256,128,17,10,1,RS,17,1.536687011837112,2048,256,2048,140,8,0.10450746666666667,1
38,1,32,64,1,1,9,9,RS,20,1.5504921316319724,1,1024,1,140,1,0.10357696333333337,8
39,1,64,128,1,1,25,8,RS,29,1.5333965339633788,1,1024,512,140,1,0.10473172666666665,1
40,1,32,16,1,1,28,13,RS,10,1.590546106893263,1,512,2048,140,8,0.10096863333333332,1
41,1,32,256,1,1,20,8,RS,24,1.5188544637289512,1,1024,256,140,1,0.10573446666666667,32
42,8,32,16,1,15,11,1,RS,7,1.503946962611863,1024,2048,1024,140,8,0.10678253333333336,1
43,8,64,64,512,1,21,8,RS,8,1.5366085940350527,2048,1,2048,140,1,0.10451280000000003,8
44,8,128,128,128,1,21,8,RS,27,1.5054032696772908,256,256,2048,140,1,0.10667923333333332,8
45,8,64,64,256,1,7,27,RS,15,1.4822126167146086,512,64,2048,140,8,0.10834833333333331,1
46,8,16,512,128,1,21,18,RS,14,1.5092731561059853,1,512,1024,140,8,0.10640569999999998,1
47,8,32,256,1,3,8,1,RS,9,1.4892827522805887,64,2048,256,140,8,0.10783396666666666,1
48,8,64,64,512,1,28,8,RS,11,1.4957284486746363,512,64,128,140,1,0.10736926666666667,8
49,8,128,32,256,1,9,1,RS,13,1.4962282632122579,1024,1,256,140,8,0.10733339999999998,1
50,1,1,256,1,1,25,6,RS,7,1.5699357245851424,1,1024,128,140,1,0.10229416666666667,1
51,8,16,512,32,1,9,10,RS,3,1.5027320086361289,128,1,64,140,8,0.1068688666666667,1
52,1,512,32,16,23,4,1,RS,20,1.4986008913485434,1024,1024,1024,140,8,0.10716346666666664,8
53,1,256,16,1,1,24,13,RS,2,1.7605197260027283,1,256,512,140,8,0.09122037333333338,1
54,8,16,256,64,1,13,15,RS,2,1.4951468362499067,2048,1,64,140,8,0.10741103333333334,1
55,1,16,16,1,1,6,25,RS,12,1.6286943429363319,1,1,64,140,8,0.0986036866666667,1
56,1,512,256,1,1,8,23,RS,30,1.7253918846461662,1,1024,1,140,8,0.09307756000000005,8
57,8,128,1,256,1,18,24,DLMTI,24,1.4980925032532695,2048,512,1,82,8,0.10719983333333334,1
58,1,1,64,512,25,1,6,DLMTI,27,1.4626291488297862,1,2048,2048,69,8,0.10979903333333331,8
59,1,16,64,1,1,11,2,DLMTI,1,1.7645410913411326,1,1024,128,69,8,0.09101248333333332,8
60,8,512,256,1,1,11,7,DLMTI,24,1.485425260989942,128,1,1,70,8,0.10811400000000002,1
61,8,64,64,32,7,11,1,DLMTI,25,1.477026925112098,512,128,1024,66,8,0.10872873333333334,1
62,1,512,1,16,30,1,3,DLMTI,30,1.4714772992434093,1,128,1024,70,8,0.10913880000000002,8
63,8,1,1,256,1,13,3,DLMTI,3,1.5144972274264732,1,1,1024,72,8,0.10603866666666666,1
64,1,512,1,1,1,6,5,DLMTI,27,1.7597928803723797,1,64,1,73,8,0.09125805,8
65,8,1,512,128,1,8,14,DLMTI,17,1.5058916857513371,2048,1,128,87,1,0.10664463333333336,1
66,1,512,16,1,1,5,3,DLMTI,6,1.6580051297809242,1,2048,2048,71,8,0.09686053666666666,8
67,1,128,512,1,1,10,5,DLMTI,22,1.7011579125365084,1,1024,128,68,8,0.09440350333333332,8
68,1,1,64,1,1,30,30,DLMTI,27,1.7742699048992034,1,2048,128,69,8,0.0905134366666666,8
69,1,16,512,1,1,7,9,DLMTI,25,1.7971443213955725,1,1,128,67,8,0.08936136333333339,8
70,1,1,1,1,1,24,29,DLMTI,30,1.7769617823193804,1,2048,2048,70,8,0.09037631999999998,8
71,1,32,1,1,1,5,8,DLMTI,4,1.6910305559063523,1,256,64,75,8,0.09496887333333333,1
72,1,256,16,1,1,30,27,DLMTI,22,1.6895013229206295,1,1024,2048,72,8,0.09505483333333334,8
73,1,16,512,1,1,27,13,DLMTI,25,1.772569274346954,1,1,128,71,8,0.09060027666666667,8
74,8,512,512,1,1,10,9,DLMTI,3,1.4753583698432504,64,2048,2048,73,1,0.10885170000000005,1
75,1,32,64,16,27,2,1,DLMTI,30,1.5066423370218698,1024,2048,512,75,8,0.10659149999999999,1
76,1,512,1,1,1,10,9,DLMTI,12,1.808076583644807,1,2048,1,70,8,0.08882105333333339,8
77,1,64,128,1,1,1,3,DLMTI,11,1.6195986490710357,1,1,2048,75,8,0.09915744666666668,1
78,1,64,1,1,1,30,10,DLMTI,21,1.5972424775055019,1,128,64,77,8,0.10054532666666664,1
79,1,32,512,16,24,6,1,DLMTI,16,1.4928845747446555,1,1,128,72,8,0.1075738,8
80,8,16,16,512,1,3,8,DLMTI,6,1.4619398918047632,2048,1,64,83,8,0.10985079999999996,1
81,1,1,512,1,1,6,5,DLMTI,10,1.7425736973425587,1,1,1024,73,8,0.09215981333333328,8
82,8,512,128,1,1,2,9,DLMTI,13,1.504721993012737,2048,1,1,73,8,0.10672753333333332,1
83,1,1,1,1,1,29,12,DLMTI,4,1.7881186885585167,1,256,64,68,8,0.08981241999999996,8
84,1,512,256,1,1,8,12,DLMTI,20,1.7347537993866256,1,2048,1,79,8,0.09257524999999996,8
85,8,1,1,1,1,10,5,DLMTI,11,1.5069170720782987,2048,128,512,69,8,0.10657206666666669,1
86,1,1,1,256,4,13,1,DLMT_test,18,1.474582594821546,2048,2048,1024,54,8,0.10890896666666669,1
87,8,512,1,128,1,10,10,DLMT_test,17,1.500543020727601,128,256,2048,52,8,0.10702476666666665,1
88,1,1,128,1,1,11,9,DLMT_test,3,1.750170953658408,1,128,2048,52,8,0.09175976,8
89,8,32,16,1,7,14,1,DLMT_test,6,1.4641622210700915,256,64,1,30,8,0.10968406666666665,1
90,8,64,64,256,1,3,5,DLMT_test,26,1.480247120683944,2048,64,256,30,8,0.10849220000000002,1
91,8,256,256,512,26,23,1,RS_30,23,1.4406698923711911,1024,256,2048,30,8,0.11147263333333335,1
92,8,1,1,128,1,13,12,RS_30,18,1.5088047521547605,256,2048,1,30,8,0.10643873333333337,1
93,8,32,1,1,1,8,11,RS_30,28,1.5288676684461666,1,512,64,30,8,0.10504196666666667,1
94,8,1,16,64,1,28,9,RS_30,14,1.4922275202988258,256,2048,1024,30,1,0.10762116666666667,1
95,1,16,128,1,1,20,1,RS_30,30,1.7586902868629581,1,128,1024,30,8,0.09131526333333333,8
96,8,256,16,64,1,19,2,RS_30,24,1.4572174009831211,128,512,1,30,8,0.11020679999999998,1
97,8,64,512,1,3,13,1,RS_30,7,1.4994586166168435,512,1,1024,30,8,0.10710216666666662,1
98,8,256,64,256,30,1,9,RS_30,11,1.488623804284384,1,1024,1,30,1,0.10788170000000002,8
99,8,256,1,512,19,1,8,RS_30,19,1.479406230270931,1024,2048,1024,30,1,0.10855386666666665,8
100,8,1,16,512,14,4,1,RS_30,2,1.4762353724141752,512,128,1,30,8,0.10878703333333334,1
101,1,16,32,16,25,9,1,RS_30,11,1.5207990712056703,1024,512,1,30,8,0.10559926666666669,8
102,8,64,128,256,12,8,1,RS_30,29,1.5032791985020433,2048,2048,2048,30,8,0.10682996666666665,1
103,8,16,64,256,1,11,20,RS_30,1,1.4733461141262214,2048,64,512,30,8,0.10900036666666667,1
104,8,128,16,1,1,3,4,RS_30,20,1.5048460720110992,2048,512,512,30,8,0.10671873333333336,1
105,8,16,64,1,25,8,1,RS_30,1,1.4498881554971124,256,512,1,30,8,0.11076389999999997,1
106,1,1,512,16,27,1,4,DLMT_30,28,1.5229460169583673,2048,1,512,30,8,0.10545040000000001,8
107,8,1,256,512,17,1,9,DLMT_30,29,1.5156158967563984,1,2048,128,30,1,0.10596039999999997,8
108,8,16,32,512,1,3,8,DLMT_30,6,1.4785254572884425,512,128,2048,30,8,0.10861853333333335,1
109,1,512,1,16,30,8,1,DLMT_30,22,1.4797524704731837,1,128,1024,30,8,0.1085284666666667,8
110,8,1,512,1,1,3,6,DLMT_30,6,1.4628658562875623,512,1,64,30,8,0.10978126666666671,1
111,1,32,1,16,30,1,7,DLMT_30,10,1.4520748434332058,512,1,1024,30,8,0.11059710000000002,1
112,8,16,16,1,1,5,29,DLMT_30,7,1.5024845677376062,128,2048,512,30,8,0.10688646666666661,1
113,8,256,16,128,6,8,1,DLMT_30,30,1.4804668186509897,1024,64,2048,30,8,0.10847609999999999,1
114,1,512,16,1,1,26,10,DLMT_30,13,1.6462047881711397,1,2048,2048,30,8,0.09755485333333334,8
115,8,1,512,1,1,13,4,DLMT_30,18,1.474184638347494,2048,1,2048,30,8,0.10893836666666662,1
116,8,1,32,64,1,7,13,DLMT_30,1,1.5104153701990453,1,1,1,30,8,0.1063252333333334,1
117,8,16,32,256,1,7,11,DLMT_30,28,1.4692385503207688,1,256,1,30,8,0.10930509999999997,1
118,8,1,1,1,28,11,1,DLMT_30,8,1.4776887873608173,64,2048,2048,30,8,0.10868003333333338,1
119,1,16,128,1,1,16,6,DLMT_30,1,1.3926872226575895,512,256,128,30,8,0.11531323333333338,8
120,8,1,16,1,6,18,1,DLMT_30,1,1.4813895339112293,256,1,1024,30,8,0.10840853333333333,1
121,8,256,1,1,4,7,1,DLMT_update_model,29,1.4748069347967967,128,256,256,60,8,0.10889239999999994,1
122,1,512,512,16,17,12,1,DLMT_update_model,16,1.526745613170581,2048,1,512,52,8,0.10518796666666666,8
123,1,1,512,1,1,9,30,DLMT_update_model,28,1.7010120825905592,1,1024,1,116,8,0.0944115966666667,1
124,8,1,512,256,3,1,7,DLMT_update_model,26,1.4274749925261276,1,1,64,116,1,0.1125030333333333,8
125,8,1,128,128,16,13,1,DLMT_update_model,1,1.5131282980919196,1,128,256,122,8,0.10613459999999998,1
126,8,16,16,1,4,1,12,DLMT_update_model,1,1.396933672109881,2048,1024,128,108,8,0.1149627,1
127,1,16,32,256,25,1,29,DLMT_update_model,2,1.390683645938481,1,64,2048,124,8,0.11547936666666662,8
128,1,1,256,1,1,20,30,DLMT_update_model,1,1.7847743223788612,1,1024,2048,92,8,0.08998071333333336,8
129,8,1,64,512,9,1,30,DLMT_update_model,6,1.3855153302673564,2048,2048,2048,110,8,0.11591013333333332,1
130,8,1,1,32,1,6,11,DLMT_update_model,1,1.4570261395411288,2048,1,128,98,1,0.11022126666666666,8
131,1,512,1,256,22,25,1,DLMT_update_model,24,1.450994222355004,512,1,1,92,8,0.11067946666666668,8
132,1,1,1,1,1,20,1,DLMT_update_model,25,1.784854327439806,1,2048,1,108,8,0.08997667999999999,8
133,8,1,16,64,9,9,1,DLMT_update_model,1,1.4468967534560018,64,1,2048,92,8,0.11099289999999998,1
134,1,64,16,1,1,28,30,DLMT_update_model,5,1.5113881339045274,1,256,2048,127,8,0.10625680000000003,1
135,8,32,256,1,24,2,1,DLMT_update_model,11,1.4845853407513423,128,512,2048,136,8,0.1081751666666667,1
136,8,32,256,64,1,8,29,DLMT_update_model,29,1.456735817799248,128,1024,64,104,8,0.11024323333333332,1
137,8,16,1,32,1,2,8,DLMT_update_model,20,1.4578889762733525,256,1024,2048,124,1,0.11015603333333333,1
138,8,512,1,1,28,1,8,DLMT_update_model,5,1.4809933583882082,2048,64,1024,98,1,0.10843753333333335,8
139,1,128,16,128,13,18,1,DLMT_update_model,2,1.4292616272584662,1,512,128,106,8,0.11236239999999996,8
140,8,16,256,1,1,1,24,DLMT_O0,6,1.1843312841078981,64,1,256,111,1,0.6481147999999997,8
141,8,16,16,1,8,19,1,DLMT_O2,6,1.7310463551563526,128,256,1,102,8,0.1048312,1
142,1,256,64,256,16,1,9,DLMT_O2,1,1.690170798207013,256,2048,1,99,8,0.10736646666666665,8
143,8,128,64,512,23,12,1,RS_O0,25,1.7381827214606271,2048,1,2048,180,8,0.10440080000000002,1
144,8,1,256,512,1,16,18,DLMT_O2,30,1.7078693631445456,2048,256,512,103,8,0.1062538333333333,1
145,8,128,128,1,30,1,9,DLMT_O2_quad,26,1.6788307211993765,1,256,2048,136,1,0.1080917,8
146,1,128,1,1,14,30,1,DLMT_O2_quad,30,1.7122057201949208,1024,2048,1,123,8,0.10598473333333334,8
147,8,1,1,1,1,16,12,DLMT_O2_quad,6,1.64465431139718,1,2048,1,123,8,0.10512833333333337,1
